cut off: adjusted p-value<0.05 und absolute log2FC>1						
Gene ID	Average read counts per gene across all replicates	log2(FC)	P-value	P-adj	Gene symbol	Gene name
ENSG00000142634	6295.266692	1.570489209	2.34E-11	1.47E-09	EFHD2	EF-hand domain family member D2
ENSG00000135454	610.868423	1.012439457	2.45E-11	1.53E-09	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1
ENSG00000128016	771.4343789	1.112576875	2.65E-11	1.65E-09	ZFP36	ZFP36 ring finger protein
ENSG00000086730	385.0057449	1.547952634	2.72E-11	1.69E-09	LAT2	linker for activation of T cells family member 2
ENSG00000115295	970.7223822	1.169931489	2.83E-11	1.75E-09	CLIP4	CAP-Gly domain containing linker protein family member 4
ENSG00000129422	2396.348182	-1.504751412	2.84E-11	1.75E-09	MTUS1	microtubule associated scaffold protein 1
ENSG00000250920	1166.645293	-1.092979688	2.86E-11	1.75E-09	RP11-297P16.4	
ENSG00000114115	1567.789984	-2.371549674	3.44E-11	2.11E-09	RBP1	retinol binding protein 1
ENSG00000115756	3329.993982	1.05525635	3.54E-11	2.15E-09	HPCAL1	hippocalcin like 1
ENSG00000033170	1284.891882	1.022200266	3.77E-11	2.29E-09	FUT8	fucosyltransferase 8
ENSG00000162496	876.0812354	2.290964435	4.26E-11	2.58E-09	DHRS3	dehydrogenase/reductase 3
ENSG00000110888	492.5243946	1.106721668	4.40E-11	2.65E-09	CAPRIN2	caprin family member 2
ENSG00000174099	280.9123249	-1.501772819	4.43E-11	2.66E-09	MSRB3	methionine sulfoxide reductase B3
ENSG00000138449	18.30052058	-2.45018052	4.72E-11	2.82E-09	SLC40A1	solute carrier family 40 member 1
ENSG00000174607	1216.539289	1.004551519	5.60E-11	3.34E-09	UGT8	UDP glycosyltransferase 8
ENSG00000116574	216.1829739	-1.902877902	5.84E-11	3.47E-09	RHOU	ras homolog family member U
ENSG00000121075	11.83140734	-2.470973416	6.11E-11	3.62E-09	TBX4	T-box transcription factor 4
ENSG00000167755	378.3438566	-1.421368943	6.40E-11	3.77E-09	KLK6	kallikrein related peptidase 6
ENSG00000152952	1143.660434	1.145005287	6.45E-11	3.77E-09	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ENSG00000196083	146.2203386	1.580758695	6.45E-11	3.77E-09	IL1RAP	interleukin 1 receptor accessory protein
ENSG00000179546	227.8985608	1.016169545	6.68E-11	3.89E-09	HTR1D	5-hydroxytryptamine receptor 1D
ENSG00000138735	157.5473458	1.181618545	8.49E-11	4.90E-09	PDE5A	phosphodiesterase 5A
ENSG00000138639	43.23350433	2.224513987	1.18E-10	6.74E-09	ARHGAP24	Rho GTPase activating protein 24
ENSG00000109654	1035.633116	1.338828095	1.64E-10	9.25E-09	TRIM2	tripartite motif containing 2
ENSG00000111816	341.7388839	1.204306106	1.72E-10	9.66E-09	FRK	fyn related Src family tyrosine kinase
ENSG00000181804	17.12799993	2.269428229	1.95E-10	1.09E-08	SLC9A9	solute carrier family 9 member A9
ENSG00000234155	39.7671774	1.803376669	1.96E-10	1.09E-08	RP11-30P6.6	
ENSG00000123066	3012.656556	-1.362139096	1.96E-10	1.09E-08	MED13L	mediator complex subunit 13L
ENSG00000101144	214.5836178	-1.116927465	1.96E-10	1.09E-08	BMP7	bone morphogenetic protein 7
ENSG00000065357	1168.259481	1.17587266	1.98E-10	1.10E-08	DGKA	diacylglycerol kinase alpha
ENSG00000279692	28.35082511	-2.114682204	2.00E-10	1.10E-08	RP11-1055B8.1	
ENSG00000145685	681.6593362	1.067545951	2.06E-10	1.13E-08	LHFPL2	LHFPL tetraspan subfamily member 2
ENSG00000146070	91.03055048	1.862363192	2.06E-10	1.13E-08	PLA2G7	phospholipase A2 group VII
ENSG00000134138	644.1595072	1.240164273	2.33E-10	1.27E-08	MEIS2	Meis homeobox 2
ENSG00000151090	90.80889178	1.426547217	2.38E-10	1.29E-08	THRB	thyroid hormone receptor beta
ENSG00000213362	90.93377572	1.733547332	2.44E-10	1.32E-08	FTH1P12	ferritin heavy chain 1 pseudogene 12
ENSG00000152503	447.5506709	-1.102660299	2.67E-10	1.44E-08	TRIM36	tripartite motif containing 36
ENSG00000261949	188.110026	-1.832610975	2.87E-10	1.53E-08	GFY	golgi associated olfactory signaling regulator
ENSG00000169891	108.4007373	1.20516874	2.94E-10	1.56E-08	REPS2	RALBP1 associated Eps domain containing 2
ENSG00000219665	20.30322483	2.293094105	3.17E-10	1.68E-08	CTD-2006C1.2	
ENSG00000019549	127.0607305	2.345826341	3.29E-10	1.74E-08	SNAI2	snail family transcriptional repressor 2
ENSG00000197442	770.2113855	1.167484252	3.48E-10	1.83E-08	MAP3K5	mitogen-activated protein kinase kinase kinase 5
ENSG00000166801	1622.606305	1.030003883	5.22E-10	2.68E-08	FAM111A	FAM111 trypsin like peptidase A
ENSG00000111077	301.9203096	1.184870772	5.40E-10	2.77E-08	TNS2	tensin 2
ENSG00000109436	455.6693546	1.008221276	6.04E-10	3.06E-08	TBC1D9	TBC1 domain family member 9
ENSG00000165507	69.66627868	2.177020176	7.20E-10	3.60E-08	C10orf10	DEPP1 autophagy regulator
ENSG00000057704	406.3501256	1.199924522	8.15E-10	4.05E-08	TMCC3	transmembrane and coiled-coil domain family 3
ENSG00000180263	832.4153641	1.14419765	8.68E-10	4.28E-08	FGD6	FYVE, RhoGEF and PH domain containing 6
ENSG00000114698	61.23736886	1.693228079	9.06E-10	4.45E-08	PLSCR4	phospholipid scramblase 4
ENSG00000138434	35574.00319	-1.259453988	9.33E-10	4.56E-08	SSFA2	ITPR interacting domain containing 2
ENSG00000227376	248.9370167	1.639531717	9.42E-10	4.59E-08	FTH1P16	ferritin heavy chain 1 pseudogene 16
ENSG00000132429	418.9811866	1.126369719	9.54E-10	4.63E-08	POPDC3	popeye domain containing 3
ENSG00000170035	3388.387756	1.224541709	1.07E-09	5.19E-08	UBE2E3	ubiquitin conjugating enzyme E2 E3
ENSG00000196668	23.82534877	-2.181845878	1.07E-09	5.19E-08	LINC00173	long intergenic non-protein coding RNA 173
ENSG00000164307	380.5888806	1.391683913	1.12E-09	5.38E-08	ERAP1	endoplasmic reticulum aminopeptidase 1
ENSG00000188039	44.66121081	2.228982798	1.12E-09	5.38E-08	NWD1	NACHT and WD repeat domain containing 1
ENSG00000156463	202.2129239	-1.400542447	1.24E-09	5.92E-08	SH3RF2	SH3 domain containing ring finger 2
ENSG00000172137	664.5878479	2.301126468	1.39E-09	6.63E-08	CALB2	calbindin 2
ENSG00000198157	423.7753024	1.351713799	1.48E-09	6.99E-08	HMGN5	high mobility group nucleosome binding domain 5
ENSG00000137203	451.8399619	1.517081401	1.87E-09	8.78E-08	TFAP2A	transcription factor AP-2 alpha
ENSG00000158125	22.9380461	2.272964801	2.20E-09	1.03E-07	XDH	xanthine dehydrogenase
ENSG00000122644	1503.656191	-1.314621975	2.31E-09	1.08E-07	ARL4A	ADP ribosylation factor like GTPase 4A
ENSG00000101213	182.6647785	1.108933057	2.32E-09	1.08E-07	PTK6	protein tyrosine kinase 6
ENSG00000184584	385.659179	1.291716106	2.78E-09	1.28E-07	TMEM173	stimulator of interferon response cGAMP interactor 1
ENSG00000166963	165.050255	-1.214383804	3.02E-09	1.39E-07	MAP1A	microtubule associated protein 1A
ENSG00000185551	5281.166451	-1.239305172	3.08E-09	1.41E-07	NR2F2	nuclear receptor subfamily 2 group F member 2
ENSG00000229491	25.50671622	1.874010563	3.11E-09	1.42E-07	RP11-342D14.1	
ENSG00000188643	7888.225268	1.171635261	3.31E-09	1.51E-07	S100A16	S100 calcium binding protein A16
ENSG00000138623	1197.016333	1.226027128	3.83E-09	1.73E-07	SEMA7A	semaphorin 7A (John Milton Hagen blood group)
ENSG00000137090	61.51921206	-1.766329646	3.85E-09	1.74E-07	DMRT1	doublesex and mab-3 related transcription factor 1
ENSG00000174749	1185.871042	1.079257272	4.12E-09	1.84E-07	C4orf32	family with sequence similarity 241 member A
ENSG00000129514	124.7436663	1.511235113	4.19E-09	1.87E-07	FOXA1	forkhead box A1
ENSG00000112419	1563.518935	1.10547934	5.04E-09	2.23E-07	PHACTR2	phosphatase and actin regulator 2
ENSG00000242732	122.2863028	-1.157978499	5.79E-09	2.55E-07	RGAG4	retrotransposon Gag like 5
ENSG00000146376	4091.05732	-1.172161615	5.86E-09	2.57E-07	ARHGAP18	Rho GTPase activating protein 18
ENSG00000135862	7381.475382	1.404997624	6.33E-09	2.75E-07	LAMC1	laminin subunit gamma 1
ENSG00000144815	560.9551357	-1.062022445	6.30E-09	2.75E-07	NXPE3	neurexophilin and PC-esterase domain family member 3
ENSG00000178401	818.9947022	-1.001491213	6.31E-09	2.75E-07	DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
ENSG00000270069	151.4595626	1.029110971	7.23E-09	3.09E-07	MIR222HG	miR222/221 cluster host gene
ENSG00000186577	254.8368712	1.175690644	7.30E-09	3.11E-07	C6orf1	small integral membrane protein 29
ENSG00000240024	165.7671375	-1.03807513	8.06E-09	3.42E-07	LINC00888	long intergenic non-protein coding RNA 888
ENSG00000147509	277.8063737	1.108388099	8.34E-09	3.52E-07	RGS20	regulator of G protein signaling 20
ENSG00000064763	240.9307226	1.120096848	8.66E-09	3.63E-07	FAR2	fatty acyl-CoA reductase 2
ENSG00000168994	224.0546776	1.324843099	8.70E-09	3.64E-07	PXDC1	PX domain containing 1
ENSG00000167693	2614.685968	-1.187325371	8.95E-09	3.73E-07	NXN	nucleoredoxin
ENSG00000070190	32.35365825	2.14587447	9.33E-09	3.87E-07	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
ENSG00000173156	1766.642605	1.060000837	1.15E-08	4.74E-07	RHOD	ras homolog family member D
ENSG00000198598	273.8100231	1.314888632	1.18E-08	4.83E-07	MMP17	matrix metallopeptidase 17
ENSG00000138439	240.7426681	-1.08028998	1.41E-08	5.72E-07	FAM117B	family with sequence similarity 117 member B
ENSG00000175548	256.5598813	1.179465368	1.42E-08	5.75E-07	ALG10B	ALG10 alpha-1,2-glucosyltransferase B
ENSG00000170647	175.2200688	1.430318104	1.58E-08	6.38E-07	TMEM133	Rho GTPase activating protein 42
ENSG00000240602	197.5140339	1.638246652	1.61E-08	6.49E-07	AADACP1	arylacetamide deacetylase pseudogene 1
ENSG00000144821	729.3110883	-1.207537236	1.80E-08	7.21E-07	MYH15	myosin heavy chain 15
ENSG00000197467	77.69871576	1.668825224	1.81E-08	7.22E-07	COL13A1	collagen type XIII alpha 1 chain
ENSG00000141574	307.5741703	1.263152322	1.83E-08	7.30E-07	SECTM1	secreted and transmembrane 1
ENSG00000163898	428.2195784	1.187631179	1.97E-08	7.83E-07	LIPH	lipase H
ENSG00000187720	414.3789719	1.385197582	2.25E-08	8.88E-07	THSD4	thrombospondin type 1 domain containing 4
ENSG00000148200	239.787819	-1.067155915	2.44E-08	9.60E-07	NR6A1	nuclear receptor subfamily 6 group A member 1
ENSG00000135111	442.3990256	-1.075878225	2.53E-08	9.92E-07	TBX3	T-box transcription factor 3
ENSG00000153714	51.60780541	1.901922873	2.64E-08	1.03E-06	LURAP1L	leucine rich adaptor protein 1 like
ENSG00000170579	34.89309673	-2.080421048	2.65E-08	1.03E-06	DLGAP1	DLG associated protein 1
ENSG00000230439	181.4938262	2.101901683	2.77E-08	1.07E-06	RP11-488P3.1	
ENSG00000171791	126.4793258	1.40307473	2.79E-08	1.08E-06	BCL2	BCL2 apoptosis regulator
ENSG00000143494	127.4936858	-1.156142666	2.82E-08	1.08E-06	VASH2	vasohibin 2
ENSG00000177675	386.4193838	1.251938062	2.87E-08	1.10E-06	CD163L1	CD163 molecule like 1
ENSG00000109686	703.8630078	1.220215952	2.90E-08	1.11E-06	SH3D19	SH3 domain containing 19
ENSG00000163788	973.6853639	1.0763693	3.12E-08	1.18E-06	SNRK	SNF related kinase
ENSG00000118777	104.67066	1.125482888	3.16E-08	1.20E-06	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
ENSG00000139211	135.0888294	1.474952936	3.18E-08	1.20E-06	AMIGO2	adhesion molecule with Ig like domain 2
ENSG00000258245	38.78352452	-1.65667798	3.21E-08	1.21E-06	RPL10P13	ribosomal protein L10 pseudogene 13
ENSG00000142871	961.1866875	1.422469555	3.24E-08	1.22E-06	CYR61	cellular communication network factor 1
ENSG00000133121	138.4171462	1.313543055	3.48E-08	1.30E-06	STARD13	StAR related lipid transfer domain containing 13
ENSG00000104267	1832.383226	1.14213882	3.75E-08	1.38E-06	CA2	carbonic anhydrase 2
ENSG00000188322	538.7588284	-1.018936228	3.74E-08	1.38E-06	SBK1	SH3 domain binding kinase 1
ENSG00000171954	138.4564826	-1.218661567	3.75E-08	1.38E-06	CYP4F22	cytochrome P450 family 4 subfamily F member 22
ENSG00000135063	46.07798976	1.482755717	3.87E-08	1.42E-06	FAM189A2	family with sequence similarity 189 member A2
ENSG00000150625	108.6242872	1.705853387	4.21E-08	1.53E-06	GPM6A	glycoprotein M6A
ENSG00000107957	329.8494017	-1.071228648	4.27E-08	1.55E-06	SH3PXD2A	SH3 and PX domains 2A
ENSG00000147689	37.53172483	2.044947224	4.83E-08	1.74E-06	FAM83A	family with sequence similarity 83 member A
ENSG00000213949	82.15570039	1.291263387	4.98E-08	1.79E-06	ITGA1	integrin subunit alpha 1
ENSG00000141449	653.8495765	-1.349086736	4.98E-08	1.79E-06	GREB1L	GREB1 like retinoic acid receptor coactivator
ENSG00000184371	86.08471592	1.536531418	5.19E-08	1.85E-06	CSF1	colony stimulating factor 1
ENSG00000188765	16.21463298	1.996296618	5.23E-08	1.86E-06	TMSB4XP2	TMSB4X pseudogene 2
ENSG00000103647	94.56292025	-1.650038371	5.31E-08	1.89E-06	CORO2B	coronin 2B
ENSG00000198435	327.6128157	-1.246057485	5.54E-08	1.96E-06	NRARP	NOTCH regulated ankyrin repeat protein
ENSG00000240891	425.0129885	-1.145084523	5.94E-08	2.09E-06	PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2
ENSG00000167601	3104.989669	1.270377096	6.04E-08	2.12E-06	AXL	AXL receptor tyrosine kinase
ENSG00000167608	333.2233823	1.245591444	6.03E-08	2.12E-06	TMC4	transmembrane channel like 4
ENSG00000167588	62.21665333	-1.464032133	6.36E-08	2.22E-06	GPD1	glycerol-3-phosphate dehydrogenase 1
ENSG00000157110	849.1024543	1.835777038	6.57E-08	2.29E-06	RBPMS	RNA binding protein, mRNA processing factor
ENSG00000112245	15972.45692	-1.203417056	6.65E-08	2.32E-06	PTP4A1	protein tyrosine phosphatase 4A1
ENSG00000175315	1310.048589	1.353303203	6.72E-08	2.34E-06	CST6	cystatin E/M
ENSG00000134852	2433.062603	-1.227555125	8.10E-08	2.79E-06	CLOCK	clock circadian regulator
ENSG00000254531	102.6152789	-1.508962643	8.66E-08	2.98E-06	FLJ20021	
ENSG00000189143	3509.457181	1.034272661	8.89E-08	3.05E-06	CLDN4	claudin 4
ENSG00000099954	93.47377837	-1.475875896	8.88E-08	3.05E-06	CECR2	CECR2 histone acetyl-lysine reader
ENSG00000117226	19.98955089	1.910111059	9.46E-08	3.23E-06	GBP3	guanylate binding protein 3
ENSG00000006468	975.3802707	-1.35244617	1.14E-07	3.83E-06	ETV1	ETS variant transcription factor 1
ENSG00000253651	7.927168319	-2.008382352	1.18E-07	3.96E-06	SOD1P3	superoxide dismutase 1 pseudogene 3
ENSG00000183780	379.5545087	1.325625465	1.36E-07	4.52E-06	SLC35F3	solute carrier family 35 member F3
ENSG00000067221	170.6205955	1.207534233	1.44E-07	4.78E-06	STOML1	stomatin like 1
ENSG00000272695	50.29384829	-1.630769211	1.52E-07	5.03E-06	GAS6-AS2	GAS6 divergent transcript
ENSG00000245532	1397.17533	1.081568376	1.63E-07	5.36E-06	NEAT1	nuclear paraspeckle assembly transcript 1
ENSG00000136231	2145.811633	-1.139594706	1.66E-07	5.44E-06	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
ENSG00000168209	2413.169033	1.906232085	1.68E-07	5.51E-06	DDIT4	DNA damage inducible transcript 4
ENSG00000197565	112.9354895	1.316093605	1.76E-07	5.73E-06	COL4A6	collagen type IV alpha 6 chain
ENSG00000129116	13146.12415	-1.721869379	1.79E-07	5.82E-06	PALLD	palladin, cytoskeletal associated protein
ENSG00000133135	292.9437685	-1.046081293	1.95E-07	6.31E-06	RNF128	ring finger protein 128
ENSG00000178038	375.2370136	1.330425325	1.99E-07	6.42E-06	ALS2CL	ALS2 C-terminal like
ENSG00000136560	1292.61871	-1.156460862	2.01E-07	6.47E-06	TANK	TRAF family member associated NFKB activator
ENSG00000039139	55.2868302	1.629382673	2.02E-07	6.47E-06	DNAH5	dynein axonemal heavy chain 5
ENSG00000178538	74.65438504	1.564970066	2.01E-07	6.47E-06	CA8	carbonic anhydrase 8
ENSG00000249306	13.05176509	-1.93920424	2.03E-07	6.50E-06	LINC01411	long intergenic non-protein coding RNA 1411
ENSG00000142867	1278.188995	1.080415305	2.08E-07	6.64E-06	BCL10	BCL10 immune signaling adaptor
ENSG00000181444	90.7425303	1.290141933	2.40E-07	7.67E-06	ZNF467	zinc finger protein 467
ENSG00000205420	16.5334593	-1.942164673	2.41E-07	7.68E-06	KRT6A	keratin 6A
ENSG00000169306	17.31480915	-1.930089048	2.42E-07	7.71E-06	IL1RAPL1	interleukin 1 receptor accessory protein like 1
ENSG00000159231	28.57949628	1.716502317	2.64E-07	8.32E-06	CBR3	carbonyl reductase 3
ENSG00000120217	94.48742633	1.496410464	2.67E-07	8.39E-06	CD274	CD274 molecule
ENSG00000003147	332.2742616	1.372352554	2.79E-07	8.73E-06	ICA1	islet cell autoantigen 1
ENSG00000242960	270.3414975	1.451812682	3.02E-07	9.35E-06	FTH1P23	ferritin heavy chain 1 pseudogene 23
ENSG00000114771	57.51863514	1.548438217	3.11E-07	9.62E-06	AADAC	arylacetamide deacetylase
ENSG00000137801	875.6827829	1.729749474	3.15E-07	9.69E-06	THBS1	thrombospondin 1
ENSG00000137674	15.65929244	-1.893227062	3.28E-07	1.01E-05	MMP20	matrix metallopeptidase 20
ENSG00000105246	22.10330136	-1.821607234	3.55E-07	1.08E-05	EBI3	Epstein-Barr virus induced 3
ENSG00000166816	87.02016734	1.116817217	3.72E-07	1.13E-05	LDHD	lactate dehydrogenase D
ENSG00000137261	112.8466967	1.260913213	3.76E-07	1.14E-05	KIAA0319	KIAA0319
ENSG00000198682	1000.228632	1.133445296	3.99E-07	1.20E-05	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
ENSG00000164099	583.3831056	1.04433613	4.01E-07	1.20E-05	PRSS12	serine protease 12
ENSG00000171401	17.19151895	-1.810999003	4.03E-07	1.20E-05	KRT13	keratin 13
ENSG00000066248	148.6316633	1.147063818	4.10E-07	1.22E-05	NGEF	neuronal guanine nucleotide exchange factor
ENSG00000135636	25.15028483	1.619942768	4.18E-07	1.24E-05	DYSF	dysferlin
ENSG00000010310	42.607022	1.566660262	4.44E-07	1.31E-05	GIPR	gastric inhibitory polypeptide receptor
ENSG00000109458	69.23478225	1.211524511	4.64E-07	1.36E-05	GAB1	GRB2 associated binding protein 1
ENSG00000153789	14.8244725	-1.894550972	5.06E-07	1.48E-05	FAM92B	CBY1 interacting BAR domain containing 2
ENSG00000100299	91.58803501	1.143313661	5.30E-07	1.54E-05	ARSA	arylsulfatase A
ENSG00000118263	116.5302293	1.125588985	5.46E-07	1.58E-05	KLF7	Kruppel like factor 7
ENSG00000053108	23.02300987	-1.763333554	5.58E-07	1.61E-05	FSTL4	follistatin like 4
ENSG00000084636	43.11432319	-1.407262255	5.76E-07	1.65E-05	COL16A1	collagen type XVI alpha 1 chain
ENSG00000160712	803.0158912	1.257504273	6.19E-07	1.76E-05	IL6R	interleukin 6 receptor
ENSG00000158246	289.6512337	1.112281621	6.78E-07	1.92E-05	FAM46B	terminal nucleotidyltransferase 5B
ENSG00000225614	228.3443968	1.215617949	6.95E-07	1.96E-05	ZNF469	zinc finger protein 469
ENSG00000196159	29.42116223	1.683411987	6.97E-07	1.97E-05	FAT4	FAT atypical cadherin 4
ENSG00000151623	31.85371359	1.525131399	6.98E-07	1.97E-05	NR3C2	nuclear receptor subfamily 3 group C member 2
ENSG00000142530	146.8551923	-1.120582849	7.44E-07	2.08E-05	FAM71E1	family with sequence similarity 71 member E1
ENSG00000223573	65.52988289	-1.320246041	8.09E-07	2.25E-05	TINCR	TINCR ubiquitin domain containing
ENSG00000159167	12.88115742	1.871215407	8.19E-07	2.27E-05	STC1	stanniocalcin 1
ENSG00000253669	81.60443699	-1.400079698	8.51E-07	2.35E-05	KB-1732A1.1	
ENSG00000050555	346.3642525	-1.069985713	9.67E-07	2.65E-05	LAMC3	laminin subunit gamma 3
ENSG00000170500	41.43604584	-1.712408034	1.06E-06	2.86E-05	LONRF2	LON peptidase N-terminal domain and ring finger 2
ENSG00000179046	459.6976212	-1.232807363	1.22E-06	3.27E-05	TRIML2	tripartite motif family like 2
ENSG00000100311	284.2680445	1.083796539	1.27E-06	3.40E-05	PDGFB	platelet derived growth factor subunit B
ENSG00000171346	436.2959356	1.046993006	1.28E-06	3.41E-05	KRT15	keratin 15
ENSG00000169184	77.05480482	-1.125909903	1.28E-06	3.41E-05	MN1	MN1 proto-oncogene, transcriptional regulator
ENSG00000170017	6540.856885	1.156260781	1.30E-06	3.45E-05	ALCAM	activated leukocyte cell adhesion molecule
ENSG00000064651	2160.148129	-1.06702987	1.34E-06	3.55E-05	SLC12A2	solute carrier family 12 member 2
ENSG00000280693	43.42849012	1.709055558	1.38E-06	3.65E-05	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1
ENSG00000188176	61.19704471	-1.421047896	1.48E-06	3.89E-05	SMTNL2	smoothelin like 2
ENSG00000151136	259.2942566	1.147093602	1.49E-06	3.91E-05	BTBD11	BTB domain containing 11
ENSG00000135074	1033.47797	-1.825160434	1.56E-06	4.07E-05	ADAM19	ADAM metallopeptidase domain 19
ENSG00000043039	55.52709711	1.514116828	1.84E-06	4.73E-05	BARX2	BARX homeobox 2
ENSG00000078081	151.8471333	1.031472477	1.98E-06	5.06E-05	LAMP3	lysosomal associated membrane protein 3
ENSG00000151224	37.04359922	1.497465313	1.98E-06	5.07E-05	MAT1A	methionine adenosyltransferase 1A
ENSG00000115604	72.09971376	1.1817424	2.17E-06	5.51E-05	IL18R1	interleukin 18 receptor 1
ENSG00000138061	42.86190473	-1.26056448	2.31E-06	5.82E-05	CYP1B1	cytochrome P450 family 1 subfamily B member 1
ENSG00000167703	164.35908	-1.246236888	2.32E-06	5.83E-05	SLC43A2	solute carrier family 43 member 2
ENSG00000088726	279.1464056	1.298477436	2.36E-06	5.93E-05	TMEM40	transmembrane protein 40
ENSG00000213453	83.12077465	1.448478236	2.45E-06	6.10E-05	FTH1P3	ferritin heavy chain 1 pseudogene 3
ENSG00000100784	413.8614597	-1.228209149	2.51E-06	6.23E-05	RPS6KA5	ribosomal protein S6 kinase A5
ENSG00000157502	183.0940395	-1.290494617	2.54E-06	6.28E-05	MUM1L1	PWWP domain containing 3B
ENSG00000168702	12.67797406	1.787496295	2.57E-06	6.34E-05	LRP1B	LDL receptor related protein 1B
ENSG00000135480	3537.847816	1.78610758	2.61E-06	6.41E-05	KRT7	keratin 7
ENSG00000133030	9114.737145	1.018316376	2.66E-06	6.51E-05	MPRIP	myosin phosphatase Rho interacting protein
ENSG00000185467	13.24737587	1.780517894	2.67E-06	6.54E-05	KPNA7	karyopherin subunit alpha 7
ENSG00000104894	41.82271087	-1.313439526	2.69E-06	6.56E-05	CD37	CD37 molecule
ENSG00000106688	357.479886	1.079875324	2.70E-06	6.58E-05	SLC1A1	solute carrier family 1 member 1
ENSG00000255346	27.39157716	1.634228656	2.76E-06	6.72E-05	NOX5	NADPH oxidase 5
ENSG00000138378	78.54637907	1.213674652	3.14E-06	7.53E-05	STAT4	signal transducer and activator of transcription 4
ENSG00000108379	27.4767208	1.424842289	3.15E-06	7.55E-05	WNT3	Wnt family member 3
ENSG00000117152	15.37046586	1.730381324	3.36E-06	7.97E-05	RGS4	regulator of G protein signaling 4
ENSG00000172059	163.731147	-1.103217475	3.35E-06	7.97E-05	KLF11	Kruppel like factor 11
ENSG00000016402	55.64431399	1.287143623	3.36E-06	7.97E-05	IL20RA	interleukin 20 receptor subunit alpha
ENSG00000134827	54.15730312	1.494150641	3.39E-06	8.02E-05	TCN1	transcobalamin 1
ENSG00000196787	54.09129114	-1.199328098	3.55E-06	8.35E-05	HIST1H2AG	H2A clustered histone 11
ENSG00000261253	36.71008824	1.549915111	3.57E-06	8.40E-05	AC137932.6	
ENSG00000134013	949.5804266	1.604177791	3.70E-06	8.68E-05	LOXL2	lysyl oxidase like 2
ENSG00000247844	84.96405379	-1.011946348	3.91E-06	9.11E-05	CCAT1	colon cancer associated transcript 1
ENSG00000134326	71.86134275	1.186912082	3.99E-06	9.31E-05	CMPK2	cytidine/uridine monophosphate kinase 2
ENSG00000153234	212.4216438	-1.167931682	4.09E-06	9.48E-05	NR4A2	nuclear receptor subfamily 4 group A member 2
ENSG00000132329	657.4704999	1.713433709	4.19E-06	9.67E-05	RAMP1	receptor activity modifying protein 1
ENSG00000181722	85.90712796	-1.462482206	4.42E-06	0.000101192	ZBTB20	zinc finger and BTB domain containing 20
ENSG00000231298	7.776609161	1.736402434	4.61E-06	0.000105179	LINC00704	mitotically associated long non coding RNA
ENSG00000137936	1670.289311	1.474592729	4.62E-06	0.000105374	BCAR3	BCAR3 adaptor protein, NSP family member
ENSG00000114541	56.41161399	1.221614107	4.66E-06	0.00010602	FRMD4B	FERM domain containing 4B
ENSG00000111348	163.3432865	1.699581701	4.73E-06	0.000107367	ARHGDIB	Rho GDP dissociation inhibitor beta
ENSG00000173890	428.5283178	1.089812025	5.09E-06	0.00011476	GPR160	G protein-coupled receptor 160
ENSG00000174460	19.49029922	-1.594273597	5.24E-06	0.000117654	ZCCHC12	zinc finger CCHC-type containing 12
ENSG00000160161	464.2172149	-1.044190095	5.32E-06	0.000119345	CILP2	cartilage intermediate layer protein 2
ENSG00000185338	76.0819371	-1.353277818	5.48E-06	0.000122451	SOCS1	suppressor of cytokine signaling 1
ENSG00000242992	25.55688063	1.498111685	5.60E-06	0.000124784	FTH1P4	ferritin heavy chain 1 pseudogene 4
ENSG00000139970	14.09714236	1.65251646	5.60E-06	0.000124784	RTN1	reticulon 1
ENSG00000259933	24.1819661	-1.474832732	5.70E-06	0.000126832	RP11-304L19.1	
ENSG00000138356	24.39898035	1.598012484	5.80E-06	0.000128624	AOX1	aldehyde oxidase 1
ENSG00000162645	10.39974581	1.706697142	6.48E-06	0.000142292	GBP2	guanylate binding protein 2
ENSG00000137440	801.3373988	1.551178806	6.88E-06	0.000150177	FGFBP1	fibroblast growth factor binding protein 1
ENSG00000229544	244.3714684	-1.10043132	6.98E-06	0.000151742	NKX1-2	NK1 homeobox 2
ENSG00000186897	126.143404	-1.189270465	7.23E-06	0.000155966	C1QL4	complement C1q like 4
ENSG00000148488	12.71504701	-1.699767342	7.74E-06	0.000164895	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6
ENSG00000139083	285.3394036	1.035049866	7.75E-06	0.000165007	ETV6	ETS variant transcription factor 6
ENSG00000125775	73.45607355	1.545363733	8.02E-06	0.000170588	SDCBP2	syndecan binding protein 2
ENSG00000185950	414.9351228	1.17693687	8.52E-06	0.000180168	IRS2	insulin receptor substrate 2
ENSG00000179059	13.97378485	-1.689040059	8.79E-06	0.000184716	ZFP42	ZFP42 zinc finger protein
ENSG00000111052	74.53017275	1.089227077	8.77E-06	0.000184716	LIN7A	lin-7 homolog A, crumbs cell polarity complex component
